,time,score,home,visit,quarter
967,06:34,8 - 20,,,
968,06:36,,,,
969,06:39,,,,
970,06:44,,,,
971,06:56,,,,
972,06:59,,,,
973,06:59,,,,
974,06:59,,,,
975,06:59,,,,
976,06:59,,,,
977,06:59,,,,
978,07:00,,,,
979,07:03,,,,
980,07:20,,,,
981,07:22,,,,
982,07:34,8 - 18,,,
983,07:43,,,,
984,07:45,,,,
985,08:03,,,,
986,08:03,8 - 15,,,
987,08:13,,,,
988,08:19,,,,
989,08:19,,,,
990,08:32,8 - 13,,,
991,08:33,,,,
992,08:34,,,,
993,08:36,,,,
994,08:42,,,,
995,08:45,8 - 11,,,
996,08:45,,,,
997,08:48,,,,
998,09:03,8 - 9,,,
999,09:03,,,,
1000,09:03,7 - 9,,,
1001,09:03,,,,
1002,09:06,,,,
1003,09:13,,,,
1004,09:20,5 - 9,,,
1005,09:38,5 - 7,,,
1006,09:51,,,,
1007,09:55,,,,
1008,09:56,,,,
1009,09:58,,,,
1010,09:59,,,,
1011,10:01,,,,
1012,10:16,3 - 7,,,
1013,10:16,,,,
1014,10:16,,,,
1015,10:16,,,,
1016,10:23,2 - 7,,,
1017,10:34,2 - 5,,,
1018,10:49,0 - 5,,,
1019,11:00,,,,
1020,11:02,,,,
1021,11:08,,,,
1022,11:10,,,,
1023,11:38,0 - 3,,,
1024,11:55,,,,
1025,12:00,,,,
