,time,score,home,visit,quarter
371,1:36,,,"
              SUB: Connaughton FOR Antetokounmpo
              

",
372,1:28,,,"
              Ilyasova S.FOUL (P4.PN) (T.Brown)
              

",
373,1:28,,"


              MISS Drummond Free Throw 1 of 2
            ",,
374,1:28,,"


              PISTONS Rebound
            ",,
375,1:28,91 - 85,"


              Drummond Free Throw 2 of 2 (13 PTS)
            ",,
376,1:14,,,"
              MISS Mirotic 24' 3PT Jump Shot
              

",
377,1:11,,,"
              Brown REBOUND (Off:3 Def:4)
              

",
378,1:00,,,"
              MISS Bledsoe 14' Fadeaway Jumper
              

",
379,0:57,,,"
              Mirotic REBOUND (Off:1 Def:1)
              

",
380,0:57,93 - 85,,"
              Mirotic 1' Tip Layup Shot (9 PTS)
              

",
381,0:42,,"


              MISS Galloway 6' Driving Floating Jump Shot
            ",,
382,0:37,,"


              Drummond REBOUND (Off:5 Def:3)
            ",,
383,0:37,,"


              MISS Drummond 1' Tip Dunk Shot
            ",,
384,0:36,,,"
              Brown REBOUND (Off:3 Def:5)
              

",
385,0:36,95 - 85,,"
              Bledsoe 1' Driving Layup (9 PTS) (Brown 5 AST)
              

",
386,0:20,,"


              MISS Galloway 24' 3PT Jump Shot
            ",,
387,0:18,,,"
              Ilyasova REBOUND (Off:1 Def:8)
              

",
388,0:01,,,"
              MISS Bledsoe 12' Floating Jump Shot
              

",
389,0:01,,,"
              Bucks Rebound
              

",
390,0:00,95 - 85,Go to top ⇧,,
391,,,,,Q4
392,11:38,,"


              MISS Drummond 5' Floating Jump Shot
            ",,
393,11:36,,,"
              Brown REBOUND (Off:3 Def:6)
              

",
394,11:30,98 - 85,,"
              Middleton 25' 3PT Jump Shot (18 PTS)
              

",
395,11:23,,"


              MISS Griffin 26' 3PT Jump Shot
            ",,
396,11:21,,,"
              Bledsoe REBOUND (Off:1 Def:2)
              

",
397,11:10,100 - 85,,"
              Bledsoe 2' Layup (11 PTS)
              

",
398,10:47,100 - 88,"


              Jackson 24' 3PT Jump Shot (26 PTS) (Griffin 5 AST)
            ",,
399,10:42,,,"
              Ilyasova OFF.Foul (P5) (K.Mauer)
              

",
400,10:42,,,"
              Ilyasova Offensive Foul Turnover (P1.T11)
              

",
401,10:42,,,"
              SUB: Antetokounmpo FOR Ilyasova
              

",
402,10:22,100 - 90,"


              Drummond 1' Layup (15 PTS) (Griffin 6 AST)
            ",,
403,10:10,,,"
              MISS Bledsoe 25' 3PT Jump Shot
              

",
404,10:08,,"


              Drummond REBOUND (Off:5 Def:4)
            ",,
405,9:56,,"


              MISS Jackson 2' Driving Layup
            ",,
406,9:54,,"


              Drummond REBOUND (Off:6 Def:4)
            ",,
407,9:54,,"


              MISS Drummond 5' Putback Layup
            ","
              Lopez BLOCK (3 BLK)
              

",
408,9:54,,,"
              Middleton REBOUND (Off:0 Def:3)
              

",
409,9:50,,"


              Kennard STEAL (1 STL)
            ","
              Brown Lost Ball Turnover (P1.T12)
              

",
410,9:46,,"


              MISS Kennard 3' Running Layup
            ","
              Lopez BLOCK (4 BLK)
              

",
411,9:39,,,"
              Brown REBOUND (Off:3 Def:7)
              

",
412,9:37,,,"
              MISS Antetokounmpo 25' 3PT Jump Shot
              

",
413,9:37,,,"
              Middleton REBOUND (Off:1 Def:3)
              

",
414,9:37,,"


              SUB: Ellington FOR Kennard
            ",,
415,9:24,,,"
              MISS Middleton 9' Turnaround Jump Shot
              

",
416,9:20,,"


              Drummond REBOUND (Off:6 Def:5)
            ",,
417,9:16,,"


              MISS Griffin 2' Running Layup
            ",,
418,9:16,,,"
              Brown REBOUND (Off:3 Def:8)
              

",
419,9:16,,,"
              Brown OFF.Foul (P3) (K.Mauer)
              

",
420,9:16,,,"
              Brown Offensive Foul Turnover (P2.T13)
              

",
421,9:01,,"


              MISS Ellington 6' Hook Shot
            ","
              Lopez BLOCK (5 BLK)
              

",
422,8:58,,,"
              Lopez REBOUND (Off:0 Def:3)
              

",
423,8:42,103 - 90,,"
              Bledsoe 25' 3PT Jump Shot (14 PTS) (Antetokounmpo 3 AST)
              

",
424,8:35,,"


              PISTONS Timeout: Regular (Full 5 Short 0)
            ",,
425,8:35,,,"
              SUB: G. Hill FOR Brown
              

",
426,8:16,,"


              MISS Jackson 4' Driving Layup
            ","
              Antetokounmpo BLOCK (4 BLK)
              

",
427,8:13,,,"
              Lopez REBOUND (Off:0 Def:4)
              

",
428,8:11,105 - 90,,"
              Bledsoe 2' Running Layup (16 PTS) (Lopez 3 AST)
              

",
429,7:56,,"


              Griffin Lost Ball Turnover (P4.T9)
            ","
              Bledsoe STEAL (2 STL)
              

",
430,7:49,,,"
              MISS Lopez 25' 3PT Jump Shot
              

",
431,7:48,,,"
              Bucks Rebound
              

",
432,7:45,,"


              Griffin P.FOUL (P5.T1) (K.Mauer)
            ",,
433,7:34,,,"
              MISS Antetokounmpo 3' Layup
              

",
434,7:32,,,"
              Antetokounmpo REBOUND (Off:2 Def:6)
              

",
435,7:22,108 - 90,,"
              Antetokounmpo 25' 3PT Jump Shot (36 PTS) (Bledsoe 5 AST)
              

",
436,7:14,,"


              MISS Jackson 10' Driving Floating Jump Shot
            ",,
437,7:13,,,"
              Lopez REBOUND (Off:0 Def:5)
              

",
438,7:06,,"


              Griffin S.FOUL (P6.T2) (D.Collins)
            ",,
439,7:06,,"


              SUB: Kennard FOR Griffin
            ",,
440,7:06,,,"
              SUB: Connaughton FOR Bledsoe
              

",
441,7:06,109 - 90,,"
              Antetokounmpo Free Throw 1 of 2 (37 PTS)
              

",
442,7:06,110 - 90,,"
              Antetokounmpo Free Throw 2 of 2 (38 PTS)
              

",
443,6:49,,"


              MISS Kennard 5' Floating Jump Shot
            ",,
444,6:47,,,"
              Antetokounmpo REBOUND (Off:2 Def:7)
              

",
